名称,经度,纬度
北京天安门,116.3976,39.9086
西安大雁塔,108.9642,34.2183
广州塔,113.3245,23.1063
武汉黄鹤楼,114.3052,30.5427
成都杜甫草堂,104.0284,30.6598
